2013-05-24 01:11:48 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/tracks_d.dds добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/tracks_n.dds
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/tracks_n.dds добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/vhc_t-90.bullet
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/vhc_t-90.bullet добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/vhc_t-90.mat
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/vhc_t-90.mat добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/vhc_t-90.node
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/vhc_t-90.node добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/vhc_t-90.smesh
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/vhc_t-90.smesh добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/vhc_t-90.xml
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/vhc_t-90.xml добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/white.dds
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/white.dds добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/Т-90.docx
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/Т-90.docx добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/Русскоязычный файл.txt
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/Русскоязычный файл.txt добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/vhc_t-90/.t-90.info/Jellyfish - копия.jpg
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/vhc_t-90/.t-90.info/Jellyfish - копия.jpg добавление в список и блокировка на чтение логином a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:16 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 19:07:16 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 19:07:16 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:16 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 19:07:16 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/.t-90.info/t-90.info завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/.t-90.info/Jellyfish.jpg
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/.t-90.info/Jellyfish.jpg завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/.t-90.info/Lighthouse.jpg
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/.t-90.info/Lighthouse.jpg завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/.t-90.info/t-90.files завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/mask.dds
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/mask.dds завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/t-90_d.dds
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/t-90_d.dds завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/t-90_n.dds
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/t-90_n.dds завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/t-90_s.dds
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/t-90_s.dds завершена
2013-05-24 19:07:17 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:17 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/t-90kill_d.dds
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/t-90kill_d.dds завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/tracks_d.dds
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/tracks_d.dds завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/tracks_n.dds
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/tracks_n.dds завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/vhc_t-90.bullet
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/vhc_t-90.bullet завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/vhc_t-90.mat
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/vhc_t-90.mat завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/vhc_t-90.node
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/vhc_t-90.node завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/vhc_t-90.smesh
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/vhc_t-90.smesh завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/vhc_t-90.xml
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/vhc_t-90.xml завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/white.dds
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/white.dds завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/Т-90.docx
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/Т-90.docx завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/Русскоязычный файл.txt
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/Русскоязычный файл.txt завершена
2013-05-24 19:07:18 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/vhc_t-90/.t-90.info/Jellyfish - копия.jpg
2013-05-24 19:07:18 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/vhc_t-90/.t-90.info/Jellyfish - копия.jpg завершена
2013-05-24 19:07:19 Client 1164 (a) tClient 	 OnReadyRead 	 Получена команда номер 7
2013-05-24 19:07:19 (Login: a) tCommitTransaction 	 ExeCommand 	 ****** КОММИТ ТРАНЗАКЦИИ ******. Замена и удаление целевых файлов 
2013-05-24 19:07:19 (Login: a) tCommitTransaction 	 ExeCommand 	 Разблокировка от чтения файла 
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/.t-90.info/t-90.info
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/.t-90.info/t-90.info найден в списке и снята блокировка на чтение логином a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/.t-90.info/t-90.info ничем не блокирован и удаляется из таблицы файлов
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/.t-90.info/Jellyfish.jpg
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/.t-90.info/Jellyfish.jpg найден в списке и снята блокировка на чтение логином a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/.t-90.info/Jellyfish.jpg ничем не блокирован и удаляется из таблицы файлов
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/.t-90.info/Lighthouse.jpg
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/.t-90.info/Lighthouse.jpg найден в списке и снята блокировка на чтение логином a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/.t-90.info/Lighthouse.jpg ничем не блокирован и удаляется из таблицы файлов
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/.t-90.info/t-90.files
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/.t-90.info/t-90.files найден в списке и снята блокировка на чтение логином a
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/.t-90.info/t-90.files ничем не блокирован и удаляется из таблицы файлов
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/mask.dds
2013-05-24 19:07:19 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 19:07:19 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
