2013-05-24 00:34:16 MainForm 	 OnListFiles 	 Запрос с главной формы GetListModels через RunGui
2013-05-24 00:45:17 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:45:17 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:45:17 socket 	ReadReport	Report: 1
2013-05-24 00:45:18 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/30mm.dds завершен
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:45:18 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/30mm.dds
2013-05-24 00:45:18 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:45:18 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/gun_30mm.mat
2013-05-24 00:45:18 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:45:18 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:45:18 socket 	ReadReport	Report: 1
2013-05-24 00:45:18 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/gun_30mm.mat завершен
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:45:18 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/gun_30mm.mat
2013-05-24 00:45:18 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:45:18 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла Common/Jellyfish.jpg
2013-05-24 00:45:18 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:45:18 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:45:18 socket 	ReadReport	Report: 1
2013-05-24 00:45:18 tStreamReceiveFile 	ExeCommand	 Прием файла Common/Jellyfish.jpg завершен
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:45:18 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/Common/Jellyfish.jpg
2013-05-24 00:45:18 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из GUI CommitTransaction
2013-05-24 00:45:18 tClientGuiCommand 	GuiCommitTransaction	Коммит транзакции 
2013-05-24 00:45:18 socket 	OnCommand	Получена команда CommitTransaction
2013-05-24 00:45:18 tStreamCommitTransaction 	ExeCommand	 Отправка команды коммита транзакции 
2013-05-24 00:45:18 socket 	ReadReport	Report: 7
2013-05-24 00:45:18 tStreamReportCommitTransaction 	ExeCommand	 Коммит завершился успешно 
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из сокета ReportCommitTransaction
2013-05-24 00:45:18 tClientGuiCommand 	GuiCommitTransaction	отчет о коммите транзакции 
2013-05-24 00:45:18 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:45:18 tConveyor 	OnCommand	Выполнение команды из GUI VerifyMoveDelete
2013-05-24 00:45:18 tClientGuiCommand 	VerifyMoveDelete	 Команда проверки, замены и удаления локальных файлов
2013-05-24 00:47:57 tDatabaseOp 	PrepareUpdateLastSynch	НАЧАЛО ПОДГОТОВКИ ОБНОВЛЕНИЯ LAST 
2013-05-24 00:47:57 tDatabaseOp 	PrepareUpdateLastSynch	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:48:41 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:48:41 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:48:41 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:48:41 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:48:41 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:48:41 tDatabaseOp 	UpdateLastSynchMark	Обновление Last таблиц по локальным таблицам  
2013-05-24 00:48:46 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:48:46 tConveyor 	OnCommand	Выполнение команды из GUI UpdateMainLocal
2013-05-24 00:48:46 tClientGuiCommand 	UpdateMainLocal	 Обновление локальных и Last таблиц 
2013-05-24 00:48:46 tDatabaseOp 	RefreshModelsFiles	Обновление локальных таблиц по файлам на диске  
2013-05-24 00:48:47 tConveyor 	NextCommand	Конец списка команд 
2013-05-24 00:48:47 tConveyor 	ClearTempFolder	Очистка временной папки
2013-05-24 00:48:47 tConveyor 	ClearTempFolder	Очистка временной папки
2013-05-24 00:48:47 tConveyor 	Clear	Сброс списка команд транзакции
2013-05-24 00:48:47 tModelsConveyor 	StartReceiveDeleteFiles	Формирование списка команд транзакции приема и удаления файлов на клиенте
2013-05-24 00:48:47 tConveyor 	ClearTempFolder	Очистка временной папки
2013-05-24 00:48:48 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:48:48 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:48:48 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 00:48:48 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/30mm.dds
2013-05-24 00:48:48 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте objects/gun_30mm/gun_30mm.mat
2013-05-24 00:48:48 tConveyor 	DeletingFile	Подготовка команды удаления файла на клиенте Common/Jellyfish.jpg
2013-05-24 00:48:48 tConveyor 	AddStartTransaction	Добавление команды начала транзакции (получение) 
----------------------------------------------------
2013-05-24 00:51:23 tSettings 	SetFilePath	Read parameters 
2013-05-24 00:51:23 tSettings 	sync	Save parameters 
2013-05-24 00:51:23 tDatabaseOp 	DatabaseOp	Подключение базы данных  
2013-05-24 00:51:24 Начало работы клиента
2013-05-24 00:51:24 socket 	Initialize	Создание сокета 
2013-05-24 00:51:24 Zast 	FindServer	Начало поиска сервера 
2013-05-24 00:51:24 socket 	ReadReport	Report: 3
2013-05-24 00:51:24 tConnectConfirmReport 	ExeCommand	 Подтверждение соединения 
2013-05-24 00:51:24 tConveyor 	OnCommand	Выполнение команды из сокета ConnectConfirmReport
2013-05-24 00:51:24 tClientGuiCommand 	GuiConnectConfirmReport	Подключение разрешено
2013-05-24 00:51:24 Zast 	AutorizStart	Сервер найден 
2013-05-24 00:51:25 tModelsConveyor 	ReceiveLoginsTable	 Запрос таблицы логинов
2013-05-24 00:51:25 tConveyor 	OnCommand	Выполнение команды из GUI GUIReceiveLoginsTable
2013-05-24 00:51:25 tClientGuiCommand 	tGUIGetLoginsTable	 Передача команды запроса таблицы логинов 
2013-05-24 00:51:25 socket 	OnCommand	Получена команда ReceiveLoginsTable
2013-05-24 00:51:25 tGetLoginsTable 	ExeCommand	 Команда запроса таблицы логинов 
2013-05-24 00:51:25 socket 	ReadReport	Report: 14
2013-05-24 00:51:25 tStreamReportReceiveLoginsTable 	ExeCommand	 Получение списка логинов с сервера 
2013-05-24 00:51:25 tConveyor 	OnCommand	Выполнение команды из сокета GUIReportReceiveLoginsTable
2013-05-24 00:51:25 tClientGuiCommand 	GetListModels	 Отчет запроса списка моделей с сервера
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	Обновление таблицы логинов  
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Количество полученых логинов 4
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Номер 1
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Логин a
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Хэш 86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 NoDelete 1
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Writable 1
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Номер 9
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Логин 3
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Хэш 77de68daecd823babbb58edb1c8e14d7106e83bb
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 NoDelete 0
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Writable 1
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Номер 14
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Логин 1
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Хэш 356a192b7913b04c54574d18c28d46e6395428ab
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 NoDelete 0
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Writable 1
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Номер 24
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Логин 2
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Хэш da4b9237bacccdf19c0760cab7aec4a8359010b0
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 NoDelete 0
2013-05-24 00:51:25 tDatabaseOp 	UpdateLogins	 Writable 0
2013-05-24 00:51:25 показ формы авторизации
2013-05-24 00:51:27 Отправка авторизации Логин: a
2013-05-24 00:51:27 tConveyor 	OnCommand	Выполнение команды из GUI SendAutorization
2013-05-24 00:51:27 tClientGuiCommand 	GuiSendAutorization	Отправка логина и пароля Логин: a
2013-05-24 00:51:27 socket 	OnCommand	Получена команда SendAutorization
2013-05-24 00:51:27 tStreamSendAutorization 	ExeCommand	 Отправка авторизации  a
2013-05-24 00:51:27 socket 	ReadReport	Report: 5
2013-05-24 00:51:27 tStreamReportAutorization 	ExeCommand	 Авторизация успешна 
2013-05-24 00:51:27 tConveyor 	OnCommand	Выполнение команды из сокета ReportAutorization
2013-05-24 00:51:27 tClientGuiCommand 	GuiReportAutorization	Отчет об авторизации. Авторизация принята 
2013-05-24 00:51:27 tDatabaseOp 	RefreshModelsFiles	Обновление локальных таблиц по файлам на диске  
2013-05-24 00:51:27 tDatabaseOp 	RefreshModelsFiles	Обновление локальных таблиц по файлам на диске  
2013-05-24 00:51:29 MainForm 	 OnListFiles 	 Запрос с главной формы GetListModels через RunGui
2013-05-24 00:51:29 tConveyor 	OnCommand	Выполнение команды из GUI GetListModels
2013-05-24 00:51:29 tClientGuiCommand 	GetListModels	 Запрос списка моделей с сервера
2013-05-24 00:51:29 socket 	OnCommand	Получена команда GetListModels
2013-05-24 00:51:29 tGetServerListModels 	ExeCommand	 Запрос списка моделей с сервера 
2013-05-24 00:51:29 socket 	ReadReport	Report: 11
2013-05-24 00:51:29 tReportGetListServerModels 	ExeCommand	 Получение списка моделей с сервера 
2013-05-24 00:51:29 tConveyor 	OnCommand	Выполнение команды из сокета ReportGetListServerModels
2013-05-24 00:51:29 tClientGuiCommand 	GetListModels	 Отчет запроса списка моделей с сервера
2013-05-24 00:51:29 tClientGuiCommand 	GetListModels	 Вызов обновления серверных таблиц
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	Обновление серверных таблиц по информации с сервера  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Сброс Found серверных моделей. Число моделей 6
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Фугасная авиабомба ФАБ-100
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Кабина танка Т-90
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Танк T-90
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Танк T-34
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Ил-2
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Орудие 30мм (upd2-1)
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Удаление ненайденых моделей  
2013-05-24 00:51:29 tDatabaseOp 	SaveServerModelFiles	 Обновление серверных таблиц завершено  
2013-05-24 00:51:29 tClientGuiCommand 	GetListModels	 Запуск. Обращение к серверу для обновления таблицы разрешений на чтение
2013-05-24 00:51:29 tClientGuiCommand 	GuiReportPrepareSendFile	Запрос таблицы разрешений на чтение моделей 
2013-05-24 00:51:29 tConveyor 	OnCommand	Выполнение команды из GUI ReceiveReadPermissions
2013-05-24 00:51:29 tClientGuiCommand 	tGUIReceiveReadPermissions	 Передача команды запроса таблицы разрешений 
2013-05-24 00:51:29 socket 	OnCommand	Получена команда ReceiveReadPermissions
2013-05-24 00:51:29 tStreamReceiveReadPermissions 	ExeCommand	 Команда запроса таблицы разрешений на чтение 
2013-05-24 00:51:29 socket 	ReadReport	Report: 15
2013-05-24 00:51:29 tStreamReportReceiveLoginsTable 	ExeCommand	 Получение списка разрешений на чтение моделей с сервера 
2013-05-24 00:51:29 tConveyor 	OnCommand	Выполнение команды из сокета GUIReportReceiveReadPermissions
2013-05-24 00:51:29 tClientGuiCommand 	tGUIReportReceiveReadPermissions	 Отчет запроса списка разрешений на чтение моделей с сервера
2013-05-24 00:51:29 tDatabaseOp 	UpdateLogins	Обновление таблицы разрешений на чтение моделей  
2013-05-24 00:51:31 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем отсутствие изменений 
2013-05-24 00:51:31 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем локальные изменения 
2013-05-24 00:51:31 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем серверные изменения 
2013-05-24 00:51:31 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем новые на локальном 
2013-05-24 00:51:31 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем новые на сервере 
2013-05-24 00:51:31 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем конфликты 
2013-05-24 00:51:47 MainForm 	 OnListFiles 	 Запрос с главной формы GetListModels через RunGui
2013-05-24 00:51:47 tConveyor 	OnCommand	Выполнение команды из GUI GetListModels
2013-05-24 00:51:47 tClientGuiCommand 	GetListModels	 Запрос списка моделей с сервера
2013-05-24 00:51:47 socket 	OnCommand	Получена команда GetListModels
2013-05-24 00:51:47 tGetServerListModels 	ExeCommand	 Запрос списка моделей с сервера 
2013-05-24 00:51:47 socket 	ReadReport	Report: 11
2013-05-24 00:51:47 tReportGetListServerModels 	ExeCommand	 Получение списка моделей с сервера 
2013-05-24 00:51:47 tConveyor 	OnCommand	Выполнение команды из сокета ReportGetListServerModels
2013-05-24 00:51:47 tClientGuiCommand 	GetListModels	 Отчет запроса списка моделей с сервера
2013-05-24 00:51:47 tClientGuiCommand 	GetListModels	 Вызов обновления серверных таблиц
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	Обновление серверных таблиц по информации с сервера  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Сброс Found серверных моделей. Число моделей 6
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Фугасная авиабомба ФАБ-100
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Кабина танка Т-90
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Танк T-90
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Танк T-34
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Ил-2
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Получение данных о модели Орудие 30мм (upd2-1)
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Проверка наличия модели в базе 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Такая модель есть  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Удаление файлов модели из базы перед обновлением 
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Файлы модели добавлены  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Удаление ненайденых моделей  
2013-05-24 00:51:47 tDatabaseOp 	SaveServerModelFiles	 Обновление серверных таблиц завершено  
2013-05-24 00:51:47 tDatabaseOp 	RefreshModelsFiles	Обновление локальных таблиц по файлам на диске  
2013-05-24 00:51:49 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем отсутствие изменений 
2013-05-24 00:51:50 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем локальные изменения 
2013-05-24 00:51:50 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем серверные изменения 
2013-05-24 00:51:50 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем новые на локальном 
2013-05-24 00:51:50 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем новые на сервере 
2013-05-24 00:51:50 tDatabaseOp 	 AnalyzeCompare 	 Отмечаем конфликты 
2013-05-24 00:51:50 tClientGuiCommand 	GuiReportPrepareSendFile	 Проход по кнопке мимо всего 
2013-05-24 00:51:53 tConveyor 	Clear	Сброс списка команд транзакции
2013-05-24 00:51:54 tModelsConveyor 	StartReceiveDeleteFiles	Формирование списка команд транзакции приема и удаления файлов на клиенте
2013-05-24 00:51:54 tConveyor 	ClearTempFolder	Очистка временной папки
2013-05-24 00:51:55 tConveyor 	ReceiveFile	Подготовка команды получения файла objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:51:55 tConveyor 	ReceiveFile	Подготовка команды получения файла objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:51:55 tConveyor 	ReceiveFile	Подготовка команды получения файла objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 00:51:55 tConveyor 	ReceiveFile	Подготовка команды получения файла objects/gun_30mm/30mm.dds
2013-05-24 00:51:55 tConveyor 	ReceiveFile	Подготовка команды получения файла objects/gun_30mm/gun_30mm.mat
2013-05-24 00:51:55 tConveyor 	ReceiveFile	Подготовка команды получения файла Common/Jellyfish.jpg
2013-05-24 00:51:55 tConveyor 	AddStartTransaction	Добавление команды начала транзакции (получение) 
2013-05-24 00:51:59 tConveyor 	AddReceiveCommand	Добавление команды получения файлов PrepareReceiveFile Файл objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:51:59 tConveyor 	AddReceiveCommand	Добавление команды получения файлов PrepareReceiveFile Файл objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:51:59 tConveyor 	AddReceiveCommand	Добавление команды получения файлов PrepareReceiveFile Файл objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 00:51:59 tConveyor 	AddReceiveCommand	Добавление команды получения файлов PrepareReceiveFile Файл objects/gun_30mm/30mm.dds
2013-05-24 00:51:59 tConveyor 	AddReceiveCommand	Добавление команды получения файлов PrepareReceiveFile Файл objects/gun_30mm/gun_30mm.mat
2013-05-24 00:51:59 tConveyor 	AddReceiveCommand	Добавление команды получения файлов PrepareReceiveFile Файл Common/Jellyfish.jpg
2013-05-24 00:51:59 tConveyor 	AddCommitTransaction	Формирование команды коммита транзакции отправки CommitTransaction
2013-05-24 00:51:59 tConveyor 	AddCommitTransaction	Формирование команды коммита транзакции получения VerifyMoveDelete
2013-05-24 00:51:59 tConveyor 	AddCommitTransaction	Команда обновления локальных таблиц UpdateMainLocal
2013-05-24 00:51:59 tConveyor 	StartExecution	Начало выполнения списка команд 
2013-05-24 00:51:59 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:51:59 tConveyor 	OnCommand	Выполнение команды из GUI StartTransaction
2013-05-24 00:51:59 tClientGuiCommand 	GuiStartTransaction	НАЧАЛО ТРАНЗАКЦИИ 
2013-05-24 00:51:59 socket 	OnCommand	Получена команда StartTransaction
2013-05-24 00:51:59 tStreamStartTransactionn 	ExeCommand	 Передача команды начала транзакции 
2013-05-24 00:51:59 socket 	ReadReport	Report: 6
2013-05-24 00:51:59 tStreamReportStartTransaction 	ExeCommand	 Транзакция начата успешно 
2013-05-24 00:51:59 tConveyor 	OnCommand	Выполнение команды из сокета ReportStartTransaction
2013-05-24 00:51:59 tClientGuiCommand 	GuiReportStartTransaction	Отчет о начале транзакции 
2013-05-24 00:51:59 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:51:59 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:51:59 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:51:59 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:51:59 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:51:59 socket 	ReadReport	Report: 1
2013-05-24 00:51:59 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/.gun_30mm.info/gun_30mm.info завершен
2013-05-24 00:51:59 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:51:59 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/.gun_30mm.info/gun_30mm.info
2013-05-24 00:51:59 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:51:59 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:51:59 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:51:59 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:51:59 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:51:59 socket 	ReadReport	Report: 1
2013-05-24 00:51:59 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg завершен
2013-05-24 00:51:59 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
2013-05-24 00:51:59 tClientGuiCommand 	GuiReportReceiveFile	Отчет о приеме файла D:/Temp1/objects/gun_30mm/.gun_30mm.info/Chrysanthemum.jpg
2013-05-24 00:51:59 tConveyor 	NextCommand	Следующая команда списка команд
2013-05-24 00:51:59 tConveyor 	OnCommand	Выполнение команды из GUI PrepareReceiveFile
2013-05-24 00:51:59 tClientGuiCommand 	GuiPrepareReceiveFile	Подготовка к приему файла objects/gun_30mm/.gun_30mm.info/gun_30mm.files
2013-05-24 00:51:59 socket 	OnCommand	Получена команда PrepareReceiveFile
2013-05-24 00:51:59 tPrepareReceiveFile 	ExeCommand	 Отправление команды приема файла на сервер 
2013-05-24 00:52:00 socket 	ReadReport	Report: 1
2013-05-24 00:52:00 tStreamReceiveFile 	ExeCommand	 Прием файла objects/gun_30mm/.gun_30mm.info/gun_30mm.files завершен
2013-05-24 00:52:00 tConveyor 	OnCommand	Выполнение команды из сокета ReceiveReport
